A'G',A'E'/A'G',E'G'/A'G',A'C'/A'G',C'E'/A'G',A'B'/A'C',B'C'/A'C',C'D'/C'E',D'E'/C'E',E'F'/E'G',F'G'/E'G',H,f/H,g/H,i/H,H/A'B',S,S_sys/S,S_dia/S,SBP,DBP
0.8354,0.390711037,0.609288963,0.262463711,0.128247326,0.530271681,0.469728319,0.731187352,0.268812648,0.090237457,0.909762543,1.814119378,0.526140255,0.475268,0.740926086,15.60284133,0.547422619,0.641600894,0.358399106,113,83
0.7746,0.43841983,0.56158017,0.274853883,0.163565947,0.558544277,0.441455723,0.692181851,0.307818149,0.137018905,0.862981095,0.858826623,0.431082195,0.389600274,0.646891927,7.222183584,0.227618055,0.678383644,0.321616356,120,84
0.7808,0.762295082,0.237704918,0.385245902,0.37704918,0.408590553,0.591409447,0.135169333,0.864830667,0.238432777,0.761567223,1.355110927,0.127256852,0.117121593,0.325979396,11.02576405,0.328456407,0.92171971,0.07828029,118,76
0.704,0.329022612,0.670977388,0.153081459,0.175941152,0.392919762,0.607080238,0.139111052,0.860888948,0.202245639,0.797754361,0.437699755,1.639005426,3.48318232,6.020095911,10.33658734,0.654494155,0.535540181,0.464459819,131,81
0.9476,0.365132967,0.634867033,0.233220768,0.131912199,0.512353166,0.487646834,0.10238869,0.89761131,0.132960667,0.867039333,6.105734874,0.49886224,0.398406857,0.67868003,53.92327293,2.150795985,0.765144299,0.568189035,126,84
0.717,0.442119944,0.557880056,0.263797691,0.178322253,0.523616018,0.476383982,0.546368406,0.453631594,0.186802307,0.813197693,4.282706705,0.520611423,0.460732457,0.722475566,43.2429451,1.366573023,0.57990847,0.42009153,146,100
0.841,0.322115888,0.677884112,0.203629106,0.118486783,0.568874625,0.431125375,0.720018118,0.279981882,0.091388333,0.908611667,1.621770525,0.666757425,0.916382359,1.093049198,16.64703877,0.607725553,0.55421908,0.44578092,119,80
0.672,0.514285714,0.485714286,0.28842645,0.225859265,0.535704352,0.464295648,0.472912394,0.527087606,0.100501029,0.899498971,2.190424117,0.265647981,0.256614506,0.822611175,21.09593024,0.533683289,0.806592435,0.193407565,114,78
0.912,0.396929825,0.603070175,0.239971274,0.15695855,0.518750119,0.481249881,0.524961186,0.475038814,0.118622436,0.881377564,2.034252361,0.376323082,0.325198676,0.873487394,17.91812341,0.635435377,0.704622371,0.295377629,118,75
0.714,0.566673696,0.433326304,0.289440838,0.277232858,0.512336487,0.487663513,0.360400657,0.639599343,0.728502383,0.271497617,2.544772013,0.091760984,0.288587473,0.860098485,24.03452674,0.702357614,0.825589171,0.174410829,120,79
